S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
65,TAMIL NADU,2016,6184,6160,6227,5993,6012,5953,5797,6295,6055,5977,5282,5496,71431,State
66,TELANGANA,2016,1777,1780,2035,2091,1958,1787,1721,1960,1676,1807,1988,2231,22811,State
67,TRIPURA,2016,65,47,59,50,53,32,46,34,36,50,45,40,557,State
68,UTTAR PRADESH,2016,2795,2546,2728,2579,2597,2526,2376,2382,2204,2492,2618,2765,30608,State
69,UTTARAKHAND,2016,118,123,140,156,136,139,130,103,115,137,113,135,1545,State
70,WEST BENGAL,2016,1407,1404,1442,1334,1446,1535,1421,1351,1348,1400,1352,1509,16949,State
71,ANDAMAN AND NICOBAR ISLANDS,2017,22,21,12,17,10,16,9,17,15,17,20,13,189,UT
72,ANDHRA PRADESH,2017,1967,1728,1968,1879,2042,1903,1733,1771,1799,1865,1936,1865,22456,State
73,ARUNACHAL PRADESH,2017,15,5,6,8,10,13,8,13,10,14,12,13,127,State
74,ASSAM,2017,625,675,621,507,539,509,470,524,515,598,614,608,6805,State
75,BIHAR,2017,737,758,758,791,969,859,641,597,602,653,789,701,8855,State
76,CHANDIGARH,2017,34,23,33,36,21,24,34,22,23,32,34,20,336,UT
77,CHHATTISGARH,2017,1289,1109,1151,1037,1137,1193,1022,1095,1104,1076,1164,1186,13563,State
78,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,17,12,16,10,19,8,16,8,8,9,9,14,146,UT
79,DELHI,2017,595,544,559,537,568,510,545,546,561,616,548,543,6672,UT
80,GOA,2017,373,332,355,296,316,276,293,294,291,340,344,410,3920,State
81,GUJARAT,2017,1593,1629,1672,1606,1806,1581,1237,1408,1424,1625,1515,1535,18631,State
82,HARYANA,2017,912,891,1003,970,1027,936,934,875,924,1043,1081,1086,11682,State
83,HIMACHAL PRADESH,2017,213,217,250,245,287,247,277,289,277,268,276,265,3111,State
84,JAMMU AND KASHMIR,2017,334,362,436,395,461,480,522,467,541,501,502,442,5443,UT
85,JHARKHAND,2017,472,435,461,401,470,452,380,364,361,413,485,504,5198,State
86,KARNATAKA,2017,3787,3411,3574,3601,3997,3519,3179,3308,3247,3558,3501,3860,42542,State
87,KERALA,2017,3430,3157,3167,3175,3480,2918,3028,3143,3169,3125,3308,3370,38470,State
88,LAKSHADWEEP,2017,0,0,0,0,0,2,0,0,0,0,0,0,2,UT
89,MADHYA PRADESH,2017,4318,3979,4172,4305,4728,4152,3713,3599,3665,3973,4273,3713,48590,State
90,MAHARASHTRA,2017,2575,2203,2670,2513,2785,2375,2162,2042,2155,2292,2363,2688,28823,State
91,MANIPUR,2017,49,61,55,39,48,50,43,47,50,40,56,48,586,State
92,MEGHALAYA,2017,29,29,24,28,25,15,28,16,15,20,28,29,286,State
93,MIZORAM,2017,6,6,5,11,5,6,2,1,7,9,3,4,65,State
94,NAGALAND,2017,3,3,9,5,6,4,10,4,2,6,3,5,60,State
