S.No.,Category,State/UT,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,year
172,State,UTTARAKHAND,115,116,152,185,209,202,200,173,1352,2019
173,State,WEST BENGAL,944,992,1345,1821,1742,1990,1979,1420,12233,2019
174,UT,A & NISLANDS,9,3,26,39,42,43,42,26,230,2019
175,UT,CHANDIGARH,16,7,46,36,39,43,65,52,304,2019
176,UT,D & N HAVELI,1,0,5,4,16,18,13,11,68,2019
177,UT,DAMAN & DIU,8,3,1,4,8,14,12,13,63,2019
178,UT,DELHI (UT),521,482,645,708,669,735,946,895,5601,2019
179,UT,LAKSHADWEEP,0,0,0,1,0,0,0,0,1,2019
180,UT,PUDUCHERRY,180,185,180,190,201,190,114,152,1392,2019
181,State,ANDHRA PRADESH,483,966,2242,2776,2748,3476,3793,1440,17924,2020
182,State,ARUNACHAL PRADESH,7,4,15,22,24,34,34,19,159,2020
183,State,ASSAM,495,577,726,1205,1114,1087,915,618,6737,2020
184,State,BIHAR,422,837,1100,1599,1093,1829,1178,581,8639,2020
185,State,CHHATTISGARH,598,738,1225,1808,2083,2228,2082,912,11674,2020
186,State,GOA,175,95,208,372,338,413,463,311,2375,2020
187,State,GUJARAT,777,808,1476,2035,2207,2272,2616,1216,13407,2020
188,State,HARYANA,547,800,1110,1216,1299,1453,1876,1205,9506,2020
189,State,HIMACHAL PRADESH,101,47,190,283,292,471,545,306,2235,2020
190,State,JHARKHAND,213,266,575,827,817,698,664,345,4405,2020
191,State,KARNATAKA,1835,1921,3459,5098,5630,5774,6914,3547,34178,2020
192,State,KERALA,630,958,3517,5141,4216,5635,5690,2012,27799,2020
193,State,MADHYA PRADESH,1994,1731,3672,5860,7190,7994,9008,4947,42396,2020
194,State,MAHARASHTRA,1442,1299,2301,3058,3369,3712,4365,2665,22211,2020
195,State,MANIPUR,8,5,52,71,71,95,91,39,432,2020
196,State,MEGHALAYA,15,14,18,24,26,29,42,37,205,2020
197,State,MIZORAM,2,1,5,11,8,7,5,8,47,2020
198,State,NAGALAND,1,1,1,2,6,9,3,4,27,2020
199,State,ODISHA,480,646,947,1426,1646,1885,1849,938,9817,2020
200,State,PUNJAB,348,494,620,737,638,742,986,608,5173,2020
201,State,RAJASTHAN,758,893,2106,2830,3043,3647,3742,2102,19121,2020
202,State,SIKKIM,6,1,14,17,17,17,19,17,108,2020
203,State,TAMIL NADU,1906,2060,5186,6864,6853,7751,10751,4113,45484,2020
204,State,TELANGANA,1299,1240,1912,2460,2797,3479,3988,1997,19172,2020
205,State,TRIPURA,8,4,46,99,85,110,70,44,466,2020
206,State,UTTAR PRADESH,2472,2755,3208,3967,3619,4336,4894,3402,28653,2020
207,State,UTTARAKHAND,76,79,105,137,177,178,180,118,1050,2020
208,State,WEST BENGAL,781,813,1199,1709,1714,1793,1740,1094,10843,2020
209,UT,A & N ISLANDS,1,3,10,14,28,29,41,15,141,2020
210,UT,CHANDIGARH,8,6,15,12,14,24,40,38,157,2020
211,UT,D & N HAVELI AND DAMAN & DIU,3,2,8,10,16,22,17,20,98,2020
212,UT,DELHI (UT),446,340,470,558,454,533,655,731,4187,2020
213,UT,JAMMU & KASHMIR,99,154,601,908,1018,1024,778,279,4861,2020
214,UT,LADAKH,0,2,17,33,33,25,19,10,139,2020
215,UT,LAKSHADWEEP,0,0,0,0,0,1,0,0,1,2020
216,UT,PUDUCHERRY,112,123,106,121,130,115,130,132,969,2020
217,State,ANDHRA PRADESH,780,1126,2337,3324,3416,4125,4522,1926,21556,2021
218,State,ARUNACHAL PRADESH,10,6,41,42,40,62,43,17,261,2021
219,State,ASSAM,377,551,820,1187,1034,1323,1014,763,7069,2021
220,State,BIHAR,242,1357,1414,1526,1363,1508,1497,646,9553,2021
221,State,CHHATTISGARH,546,810,1047,1807,2224,2415,2480,1066,12395,2021
222,State,GOA,237,164,263,402,453,463,521,347,2850,2021
223,State,GUJARAT,798,663,1622,2372,2416,2598,3114,1617,15200,2021
224,State,HARYANA,777,835,1166,1168,1239,1547,1955,1362,10049,2021
225,State,HIMACHAL PRADESH,122,55,246,315,335,449,574,312,2408,2021
226,State,JHARKHAND,307,512,639,730,679,783,686,392,4728,2021
227,State,KARNATAKA,1909,1990,3674,5117,5560,5983,6684,3730,34647,2021
228,State,KERALA,718,1167,3882,6099,5327,6308,6765,2493,32759,2021
229,State,MADHYA PRADESH,2316,2197,4131,7180,8211,8969,9798,5417,48219,2021
230,State,MAHARASHTRA,1579,1601,2563,3626,4150,4321,5304,3454,26598,2021
231,State,MANIPUR,14,21,52,45,60,75,69,30,366,2021
232,State,MEGHALAYA,12,18,25,24,30,58,38,39,244,2021
233,State,MIZORAM,4,2,9,12,12,12,10,3,64,2021
234,State,NAGALAND,1,0,5,3,4,5,3,4,25,2021
235,State,ODISHA,544,830,1189,1619,1776,1908,2102,1015,10983,2021
236,State,PUNJAB,490,500,666,708,743,962,1135,893,6097,2021
237,State,RAJASTHAN,894,1058,2345,2905,3317,4179,4269,1987,20954,2021
238,State,SIKKIM,7,8,11,9,17,22,28,20,122,2021
239,State,TAMIL NADU,1141,2244,6248,8357,8437,10383,14415,4457,55682,2021
240,State,TELANGANA,935,936,2120,3115,3452,4028,4587,2142,21315,2021
241,State,TRIPURA,4,13,48,85,86,101,101,40,478,2021
242,State,UTTAR PRADESH,3484,3325,3954,4069,4313,5017,5592,3957,33711,2021
243,State,UTTARAKHAND,107,121,136,198,176,233,261,173,1405,2021
244,State,WEST BENGAL,841,1014,1208,1740,1680,1893,1915,1210,11501,2021
245,UT,ANDAMAN AND NICOBAR ISLANDS,3,3,6,11,20,31,25,18,117,2021
246,UT,CHANDIGARH,22,7,16,28,18,31,42,44,208,2021
247,UT,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,4,3,14,9,22,25,37,26,140,2021
248,UT,DELHI,577,371,517,550,540,661,804,700,4720,2021
249,UT,JAMMU AND KASHMIR,124,162,560,1050,1257,1026,860,363,5402,2021
250,UT,LADAKH,8,2,29,46,48,81,22,1,237,2021
251,UT,LAKSHADWEEP,0,0,0,2,0,1,0,1,4,2021
252,UT,PUDUCHERRY,119,127,114,129,132,125,138,165,1049,2021
253,State,ANDHRA PRADESH,886,1045,2290,3139,3141,3813,4591,2165,21070,2022
254,State,ARUNACHAL PRADESH,11,12,14,25,46,47,36,24,215,2022
255,State,ASSAM,409,452,903,1063,1143,1156,1133,769,7028,2022
256,State,BIHAR,485,1117,1602,1700,1405,1784,1865,843,10801,2022
257,State,CHHATTISGARH,442,493,1099,1875,2059,2500,3215,1408,13091,2022
258,State,GOA,286,152,260,393,471,457,619,374,3012,2022
259,State,GUJARAT,957,817,1727,2333,2477,2596,3167,1703,15777,2022
260,State,HARYANA,1048,801,1217,1330,1250,1554,2153,1301,10654,2022
261,State,HIMACHAL PRADESH,156,169,211,299,364,426,548,311,2484,2022
262,State,JHARKHAND,330,390,686,769,823,933,833,411,5175,2022
263,State,KARNATAKA,2246,3119,4018,5628,5780,6233,7424,5317,39765,2022
264,State,KERALA,1021,1426,5240,7790,6613,8543,9089,3870,43592,2022
265,State,MADHYA PRADESH,2935,2234,4560,7508,8837,9568,9907,6416,51965,2022
266,State,MAHARASHTRA,2010,1876,2829,4100,4467,5218,6095,3951,30546,2022
267,State,MANIPUR,17,3,48,96,67,91,117,69,508,2022
268,State,MEGHALAYA,13,9,24,48,29,51,41,31,246,2022
269,State,MIZORAM,1,3,14,15,18,6,13,1,71,2022
270,State,NAGALAND,3,1,6,4,3,2,2,3,24,2022
271,State,ODISHA,629,741,1252,1753,1767,2112,2279,1130,11663,2022
272,State,PUNJAB,383,450,721,737,850,949,1140,892,6122,2022
273,State,RAJASTHAN,933,902,2534,3379,3811,4496,5147,2418,23620,2022
274,State,SIKKIM,18,9,17,28,29,37,40,21,199,2022
275,State,TAMIL NADU,1624,2737,7397,9202,9107,11506,16285,6247,64105,2022
