S.No.,State/UT,year,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,Category
238,RAJASTHAN,2021,894,1058,2345,2905,3317,4179,4269,1987,20954,State
239,SIKKIM,2021,7,8,11,9,17,22,28,20,122,State
240,TAMIL NADU,2021,1141,2244,6248,8357,8437,10383,14415,4457,55682,State
241,TELANGANA,2021,935,936,2120,3115,3452,4028,4587,2142,21315,State
242,TRIPURA,2021,4,13,48,85,86,101,101,40,478,State
243,UTTAR PRADESH,2021,3484,3325,3954,4069,4313,5017,5592,3957,33711,State
244,UTTARAKHAND,2021,107,121,136,198,176,233,261,173,1405,State
245,WEST BENGAL,2021,841,1014,1208,1740,1680,1893,1915,1210,11501,State
246,ANDAMAN AND NICOBAR ISLANDS,2022,6,6,12,15,27,32,20,23,141,UT
247,ANDHRA PRADESH,2022,886,1045,2290,3139,3141,3813,4591,2165,21070,State
248,ARUNACHAL PRADESH,2022,11,12,14,25,46,47,36,24,215,State
249,ASSAM,2022,409,452,903,1063,1143,1156,1133,769,7028,State
250,BIHAR,2022,485,1117,1602,1700,1405,1784,1865,843,10801,State
251,CHANDIGARH,2022,36,8,16,18,25,36,35,64,238,UT
252,CHHATTISGARH,2022,442,493,1099,1875,2059,2500,3215,1408,13091,State
253,DADRA AND NICOBAR HAVELI AND DAMAN AND DIU,2022,8,1,15,27,17,37,44,26,175,State
254,DELHI,2022,626,528,609,667,776,692,828,834,5560,UT
255,GOA,2022,286,152,260,393,471,457,619,374,3012,State
256,GUJARAT,2022,957,817,1727,2333,2477,2596,3167,1703,15777,State
257,HARYANA,2022,1048,801,1217,1330,1250,1554,2153,1301,10654,State
258,HIMACHAL PRADESH,2022,156,169,211,299,364,426,548,311,2484,State
259,JAMMU AND KASHMIR,2022,130,239,774,1215,1440,1269,971,320,6358,UT
260,JHARKHAND,2022,330,390,686,769,823,933,833,411,5175,State
261,KARNATAKA,2022,2246,3119,4018,5628,5780,6233,7424,5317,39765,State
262,KERALA,2022,1021,1426,5240,7790,6613,8543,9089,3870,43592,State
263,LAKSHADWEEP,2022,0,0,0,2,0,0,2,0,4,UT
264,MADHYA PRADESH,2022,2935,2234,4560,7508,8837,9568,9907,6416,51965,State
265,MAHARASHTRA,2022,2010,1876,2829,4100,4467,5218,6095,3951,30546,State
266,MANIPUR,2022,17,3,48,96,67,91,117,69,508,State
267,MEGHALAYA,2022,13,9,24,48,29,51,41,31,246,State
268,MIZORAM,2022,1,3,14,15,18,6,13,1,71,State
269,NAGALAND,2022,3,1,6,4,3,2,2,3,24,State
270,ODISHA,2022,629,741,1252,1753,1767,2112,2279,1130,11663,State
271,PUDUCHERRY,2022,32,35,144,157,199,202,261,151,1181,UT
272,PUNJAB,2022,383,450,721,737,850,949,1140,892,6122,State
273,RAJASTHAN,2022,933,902,2534,3379,3811,4496,5147,2418,23620,State
274,SIKKIM,2022,18,9,17,28,29,37,40,21,199,State
275,TAMIL NADU,2022,1624,2737,7397,9202,9107,11506,16285,6247,64105,State
276,TELANGANA,2022,1094,952,2163,2988,3312,4051,4544,2515,21619,State
277,TRIPURA,2022,12,16,54,104,93,100,123,73,575,State
278,UTTAR PRADESH,2022,3941,3886,3937,4299,4580,5213,6154,4865,36875,State
279,UTTARAKHAND,2022,122,141,207,244,235,248,243,234,1674,State
280,WEST BENGAL,2022,838,910,1193,1523,1495,1556,1699,1421,10635,State
