S.No.,State/UT,Year,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died
180,Bihar,2020,898,402,1099,243,652,2830,574
181,Chandigarh,2020,1,0,3,0,0,23,26
182,Chhattisgarh,2020,355,53,473,176,47,2694,818
183,Dadra and Nagar Haveli and Daman and Diu,2020,16,0,8,1,0,32,7
184,Delhi,2020,106,30,310,2,51,489,208
185,Goa,2020,7,0,18,0,1,163,35
186,Gujarat,2020,678,103,1224,75,359,2780,981
187,Haryana,2020,562,85,914,145,63,1357,1505
188,Himachal Pradesh,2020,126,21,417,32,4,231,33
189,Jammu and Kashmir,2020,121,85,251,26,8,173,99
190,Jharkhand,2020,301,110,579,37,122,1736,159
191,Karnataka,2020,611,177,1592,87,315,4993,1985
192,Kerala,2020,191,62,317,5,143,1585,674
193,Lakshadweep,2020,0,0,0,0,0,0,0
194,Madhya Pradesh,2020,1335,395,2406,578,257,5182,1512
195,Maharashtra,2020,1764,269,1822,255,411,5877,1620
196,Manipur,2020,30,0,23,0,3,39,32
197,Meghalaya,2020,34,7,41,0,2,31,23
198,Mizoram,2020,12,0,20,0,0,21,0
199,Nagaland,2020,14,0,11,0,0,2,0
200,Odisha,2020,355,93,492,29,159,2391,1219
201,Puducherry,2020,2,5,13,0,0,57,68
202,Punjab,2020,336,97,1042,62,120,1555,704
203,Rajasthan,2020,1417,390,2209,365,174,3266,1431
204,Sikkim,2020,7,0,29,0,0,6,0
205,Tamil Nadu,2020,510,230,1129,80,338,3970,1802
206,Telangana,2020,518,194,847,278,440,3963,642
207,Tripura,2020,20,1,26,0,6,86,53
208,Uttar Pradesh,2020,4606,725,5098,614,933,5735,1326
209,Uttarakhand,2020,52,7,190,10,13,298,123
210,West Bengal,2020,1328,374,983,119,129,1374,864
211,Andaman and Nicobar Islands,2021,0,1,1,0,1,10,9
212,Andhra Pradesh,2021,523,146,652,218,644,4166,1837
213,Arunachal Pradesh,2021,33,3,77,3,8,33,16
214,Assam,2021,256,144,569,30,127,1299,589
215,Bihar,2021,126,71,504,65,405,2657,3832
216,Chandigarh,2021,0,1,6,0,17,47,25
217,Chhattisgarh,2021,330,37,361,175,205,2795,1510
218,Dadra and Nagar Haveli and Daman and Diu,2021,0,0,3,4,0,48,21
219,Delhi,2021,71,30,278,7,121,453,279
220,Goa,2021,6,0,29,0,0,151,40
221,Gujarat,2021,534,111,1113,86,522,3535,1556
222,Haryana,2021,374,65,700,217,126,1917,1584
223,Himachal Pradesh,2021,123,23,536,34,5,261,50
224,Jammu and Kashmir,2021,89,62,293,22,28,198,168
225,Jharkhand,2021,335,76,494,64,393,1599,552
226,Karnataka,2021,616,173,1311,157,334,5021,2426
227,Kerala,2021,186,79,323,2,188,1811,840
228,Lakshadweep,2021,1,0,0,0,0,0,0
229,Madhya Pradesh,2021,1150,383,1934,440,452,6059,2062
230,Maharashtra,2021,1646,256,2104,383,453,7155,1914
231,Manipur,2021,15,3,17,0,1,41,33
232,Meghalaya,2021,22,9,76,0,1,41,38
233,Mizoram,2021,14,0,25,1,1,16,7
234,Nagaland,2021,7,2,7,0,2,4,1
235,Odisha,2021,462,171,576,83,194,2440,1155
236,Puducherry,2021,18,4,44,5,3,48,21
237,Punjab,2021,289,81,1140,64,225,1928,789
238,Rajasthan,2021,1326,441,2415,592,177,3595,1497
239,Sikkim,2021,11,0,42,0,0,5,6
240,Tamil Nadu,2021,1038,551,1998,89,534,8259,2915
241,Telangana,2021,511,68,604,176,390,4082,1726
242,Tripura,2021,24,1,30,0,19,51,69
243,Uttar Pradesh,2021,3423,1337,4039,862,1925,7429,2777
244,Uttarakhand,2021,38,16,118,0,12,548,92
245,West Bengal,2021,1025,277,1112,120,172,1538,1587
246,Andaman and Nicobar Islands,2022,0,7,5,0,0,6,1
247,Andhra Pradesh,2022,659,221,847,89,621,3709,2147
248,Arunachal Pradesh,2022,59,1,37,5,0,41,9
249,Assam,2022,213,168,537,19,172,1189,762
250,Bihar,2022,213,106,556,473,545,3035,3970
251,Chandigarh,2022,0,1,0,0,5,40,37
252,Chhattisgarh,2022,408,76,455,160,40,3606,1145
253,Dadra and Nagar Haveli and Daman and Diu,2022,1,1,7,0,3,42,26
254,Delhi,2022,89,36,316,3,73,631,313
255,Goa,2022,4,3,26,1,0,180,60
256,Gujarat,2022,569,99,1236,64,411,3754,1501
257,Haryana,2022,277,103,660,53,153,2182,1800
258,Himachal Pradesh,2022,121,41,473,21,17,240,66
259,Jammu and Kashmir,2022,119,89,292,30,13,213,148
260,Jharkhand,2022,276,102,473,40,660,1929,418
261,Karnataka,2022,747,297,1545,113,408,5742,2853
262,Kerala,2022,245,160,586,14,280,2042,990
263,Lakshadweep,2022,0,0,0,0,0,2,0
264,Madhya Pradesh,2022,1336,380,2064,482,598,6669,2389
265,Maharashtra,2022,1651,320,2305,302,630,8199,2341
266,Manipur,2022,13,11,19,0,4,38,42
267,Meghalaya,2022,28,7,57,1,9,50,10
268,Mizoram,2022,26,0,31,1,13,10,2
269,Nagaland,2022,8,0,6,0,7,0,1
270,Odisha,2022,494,134,617,0,181,2384,1660
271,Puducherry,2022,35,7,19,2,3,85,30
272,Punjab,2022,207,57,1101,70,149,2099,1005
273,Rajasthan,2022,1215,339,2577,561,199,4062,2150
274,Sikkim,2022,39,1,40,0,0,8,10
275,Tamil Nadu,2022,251,213,1051,81,267,11140,4881
276,Telangana,2022,397,98,588,221,334,3977,1944
277,Tripura,2022,21,2,18,0,14,92,94
278,Uttar Pradesh,2022,4109,1744,4337,1015,1658,8305,2941
279,Uttarakhand,2022,73,58,259,10,23,421,198
280,West Bengal,2022,1184,329,946,125,211,1754,1239
