S.No.,State/UT,year,Deaths_Natural,Deaths_Other_Causes,Deaths_Total,Population_Lakh,Category
157,KERALA,2019,140,13623,13763,351.9,State
158,LAKSHADWEEP,2019,0,5,5,0.7,UT
159,MADHYA PRADESH,2019,627,41804,42431,826.1,State
160,MAHARASHTRA,2019,573,69756,70329,1225.3,State
161,MANIPUR,2019,5,304,309,31.1,State
162,MEGHALAYA,2019,12,464,476,32.3,State
163,MIZORAM,2019,4,167,171,12.0,State
164,NAGALAND,2019,0,63,63,21.6,State
165,ODISHA,2019,1466,14993,16459,437.3,State
166,PUDUCHERRY,2019,0,1103,1103,15.2,UT
167,PUNJAB,2019,240,10808,11048,299.4,State
168,RAJASTHAN,2019,210,28487,28697,776.0,State
169,SIKKIM,2019,6,289,295,6.7,State
170,TAMIL NADU,2019,70,22334,22404,758.1,State
171,TELANGANA,2019,252,11468,11720,372.8,State
172,TRIPURA,2019,20,687,707,40.0,State
173,UTTAR PRADESH,2019,792,39804,40596,2259.7,State
174,UTTARAKHAND,2019,68,1818,1886,111.8,State
175,WEST BENGAL,2019,376,15609,15985,971.1,State
176,ANDAMAN AND NICOBAR ISLANDS,2020,0,213,213,4.0,UT
177,ANDHRA PRADESH,2020,164,14489,14653,526.0,State
178,ARUNACHAL PRADESH,2020,36,318,354,15.2,State
179,ASSAM,2020,50,4863,4913,347.9,State
180,BIHAR,2020,1437,13037,14474,1219.0,State
181,CHANDIGARH,2020,3,320,323,12.0,UT
182,CHHATTISGARH,2020,270,19787,20057,292.4,State
183,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2020,5,250,255,10.4,UT
184,DELHI,2020,2,4114,4116,203.2,UT
185,GOA,2020,3,608,611,15.5,State
186,GUJARAT,2020,155,20644,20799,691.7,State
187,HARYANA,2020,74,14775,14849,292.1,State
188,HIMACHAL PRADESH,2020,54,2697,2751,73.6,State
189,JAMMU AND KASHMIR,2020,57,1248,1305,136.4,UT
190,JHARKHAND,2020,475,6415,6890,381.2,State
191,KARNATAKA,2020,137,24261,24398,665.0,State
192,KERALA,2020,78,12903,12981,353.7,State
193,LAKSHADWEEP,2020,0,3,3,0.7,UT
194,MADHYA PRADESH,2020,561,39957,40518,837.6,State
195,MAHARASHTRA,2020,459,57347,57806,1236.8,State
196,MANIPUR,2020,0,288,288,31.4,State
197,MEGHALAYA,2020,22,469,491,32.6,State
198,MIZORAM,2020,4,191,195,12.1,State
199,NAGALAND,2020,12,62,74,21.8,State
200,ODISHA,2020,1428,17460,18888,454.7,State
201,PUDUCHERRY,2020,0,882,882,15.5,UT
202,PUNJAB,2020,325,9248,9573,301.8,State
203,RAJASTHAN,2020,127,22257,22384,786.1,State
204,SIKKIM,2020,19,280,299,6.7,State
205,TAMIL NADU,2020,71,18319,18390,761.7,State
206,TELANGANA,2020,170,11652,11822,375.4,State
207,TRIPURA,2020,10,684,694,40.4,State
208,UTTAR PRADESH,2020,525,31166,31691,2289.3,State
209,UTTARAKHAND,2020,73,1590,1663,113.1,State
210,WEST BENGAL,2020,599,14195,14794,977.2,State
211,ANDAMAN AND NICOBAR ISLANDS,2021,4,206,210,4.0,UT
212,ANDHRA PRADESH,2021,162,15882,16044,528.5,State
213,ARUNACHAL PRADESH,2021,12,379,391,15.4,State
214,ASSAM,2021,27,4497,4524,351.6,State
215,BIHAR,2021,830,14575,15405,1237.0,State
216,CHANDIGARH,2021,0,379,379,12.1,UT
217,CHHATTISGARH,2021,244,17281,17525,296.1,State
218,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2021,1,273,274,11.1,UT
219,DELHI,2021,0,3185,3185,207.0,UT
220,GOA,2021,3,593,596,15.6,State
221,GUJARAT,2021,125,21927,22052,700.8,State
222,HARYANA,2021,55,15437,15492,296.0,State
223,HIMACHAL PRADESH,2021,134,2869,3003,74.1,State
224,JAMMU AND KASHMIR,2021,115,1424,1539,137.4,UT
225,JHARKHAND,2021,410,6959,7369,386.4,State
226,KARNATAKA,2021,154,25124,25278,669.9,State
227,KERALA,2021,45,13841,13886,355.4,State
228,LAKSHADWEEP,2021,0,6,6,0.7,UT
229,MADHYA PRADESH,2021,680,39830,40510,848.6,State
230,MAHARASHTRA,2021,761,57481,58242,1247.6,State
231,MANIPUR,2021,1,276,277,31.7,State
232,MEGHALAYA,2021,16,550,566,33.0,State
233,MIZORAM,2021,2,230,232,12.2,State
234,NAGALAND,2021,1,72,73,22.0,State
235,ODISHA,2021,1746,17917,19663,457.9,State
236,PUDUCHERRY,2021,0,917,917,15.8,UT
237,PUNJAB,2021,253,10192,10445,304.0,State
238,RAJASTHAN,2021,164,23033,23197,795.7,State
239,SIKKIM,2021,8,225,233,6.8,State
240,TAMIL NADU,2021,130,28156,28286,764.8,State
241,TELANGANA,2021,112,12985,13097,377.7,State
242,TRIPURA,2021,7,631,638,40.8,State
243,UTTAR PRADESH,2021,376,36145,36521,2317.0,State
244,UTTARAKHAND,2021,89,1688,1777,114.4,State
245,WEST BENGAL,2021,459,15239,15698,982.9,State
246,ANDAMAND AND NICOBAR ISLANDS,2022,0,207,207,4.0,State
247,ANDHRA PRADESH,2022,142,16551,16693,530.3,State
248,ARUNACHAL PRADESH,2022,25,384,409,15.5,State
249,ASSAM,2022,61,4996,5057,354.9,State
