Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
71,City,Meerut,79,71,74,97,43,80,48,55,547,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,79,71,74,97,43,80,50,57,551
72,City,Mumbai,58,70,88,111,88,124,114,102,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,70,88,111,88,124,114,102,755
73,City,Nagpur,67,51,110,275,260,227,229,202,1421,0,0,0,0,0,0,0,0,0,4,6,11,11,12,7,7,11,69,71,57,121,286,272,234,236,213,1490
74,City,Nasik,26,26,29,26,31,36,48,35,257,0,0,0,0,0,0,0,0,0,6,4,3,1,1,5,1,1,22,32,30,32,27,32,41,49,36,279
75,City,Patna,17,91,176,112,89,103,60,21,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,91,176,112,89,103,60,21,669
76,City,Pune,53,34,55,72,73,72,70,64,493,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,4,0,14,53,35,56,75,74,76,74,64,507
77,City,Raipur,114,299,154,201,276,182,58,47,1331,0,0,0,1,0,0,0,0,1,7,4,6,4,3,5,3,3,35,121,303,160,206,279,187,61,50,1367
78,City,Rajkot,72,66,70,97,74,70,92,76,617,0,0,0,0,0,0,0,0,0,0,0,2,5,3,2,2,0,14,72,66,72,102,77,72,94,76,631
79,City,Ranchi,10,21,41,49,68,42,58,48,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,41,49,68,42,58,48,337
80,City,Srinagar,0,0,0,51,101,135,76,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,101,135,76,0,363
81,City,Surat,38,16,74,118,130,132,145,104,757,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,7,3,18,38,18,74,120,131,135,152,107,775
82,City,Thiruvananthapuram,101,106,298,315,287,353,366,214,2040,4,11,7,1,1,4,1,1,30,0,0,0,0,0,0,0,0,0,105,117,305,316,288,357,367,215,2070
83,City,Thrissur,31,34,141,295,196,286,278,123,1384,0,0,0,0,0,0,0,0,0,2,2,5,4,3,3,0,2,21,33,36,146,299,199,289,278,125,1405
84,City,Tiruchirappalli,26,25,70,106,106,97,130,78,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,70,106,106,97,130,78,638
85,City,Vadodara,54,32,102,154,129,134,152,110,867,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3,9,56,33,102,154,129,134,155,113,876
86,City,Varanasi,35,40,30,23,24,29,37,45,263,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,5,17,36,41,31,24,25,31,42,50,280
87,City,Vasai Virar,40,46,36,44,69,39,53,53,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,36,44,69,39,53,53,380
88,City,Vijayawada,120,64,185,226,299,226,195,176,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,120,64,185,226,299,226,195,177,1492
89,City,Vishakhapatnam,99,112,181,191,210,193,207,181,1374,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,99,112,181,193,210,193,207,181,1376
City,City,Total (Cities),4397,4290,8544,11208,10861,11603,11899,8778,71580,25,27,44,25,21,36,43,30,251,152,181,177,202,173,184,220,214,1503,4574,4498,8765,11435,11055,11823,12162,9022,73334
