Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
52,City,Ghaziabad,0,36,36,0,37,37,0,16,16,0,53,53,0,0,0,0,14,14,0,19,19,0,31,31,0,8,8,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,227,227
53,City,Gwalior,1,12,13,0,5,5,0,2,2,6,18,24,0,2,2,0,10,10,1,6,7,33,8,41,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,41,123,164
54,City,Hyderabad,14,21,35,15,12,27,2,2,4,16,12,28,1,1,2,1,0,1,7,6,13,109,90,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,165,145,310
55,City,Indore,0,20,20,0,10,10,0,3,3,0,8,8,0,2,2,0,0,0,0,2,2,0,86,86,0,47,47,0,5,5,0,2,2,0,0,0,0,129,129,0,0,0,0,314,314
56,City,Jabalpur,0,0,0,0,0,0,30,0,30,7,0,7,0,0,0,0,0,0,11,0,11,136,0,136,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,189,0,189
57,City,Jaipur,15,36,51,6,23,29,1,2,3,8,43,51,57,102,159,4,7,11,4,0,4,223,133,356,12,27,39,11,0,11,0,0,0,0,0,0,0,90,90,4,5,9,345,468,813
58,City,Jamshedpur,4,11,15,2,3,5,0,0,0,5,13,18,0,0,0,0,0,0,5,2,7,21,21,42,0,0,0,4,0,4,0,0,0,0,0,0,0,7,7,0,0,0,41,57,98
59,City,Jodhpur,14,24,38,8,14,22,13,16,29,30,49,79,0,3,3,0,0,0,0,3,3,50,41,91,0,17,17,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,115,177,292
60,City,Kannur,0,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,1,26,27,0,0,0,0,3,3,0,0,0,0,0,0,0,26,26,0,0,0,1,67,68
61,City,Kanpur,2,93,95,2,20,22,1,47,48,15,127,142,0,2,2,0,5,5,12,115,127,19,113,132,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,51,526,577
62,City,Kochi,0,20,20,0,18,18,0,5,5,2,8,10,0,0,0,0,0,0,0,0,0,3,60,63,0,3,3,0,2,2,0,0,0,0,0,0,0,16,16,0,0,0,5,132,137
63,City,Kolkata,0,79,79,0,62,62,4,3,7,0,67,67,0,3,3,0,0,0,1,10,11,17,58,75,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,22,307,329
64,City,Kollam,0,2,2,0,3,3,0,0,0,0,10,10,0,0,0,0,0,0,0,4,4,1,105,106,0,2,2,0,12,12,0,0,0,0,0,0,0,73,73,0,1,1,1,212,213
65,City,Kota,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,2,3,2,1,3,48,6,54,0,0,0,0,1,1,0,0,0,0,0,0,0,28,28,0,0,0,55,38,93
66,City,Kozhikode,0,0,0,0,4,4,0,0,0,0,10,10,0,0,0,0,0,0,0,4,4,0,107,107,0,0,0,0,5,5,0,0,0,0,0,0,0,54,54,0,0,0,0,184,184
67,City,Lucknow,57,54,111,14,12,26,10,2,12,47,21,68,2,1,3,1,14,15,8,6,14,65,30,95,13,11,24,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,217,154,371
68,City,Ludhiana,1,65,66,0,15,15,1,9,10,3,71,74,0,4,4,1,6,7,3,9,12,36,22,58,0,13,13,1,0,1,0,0,0,0,0,0,24,0,24,0,67,67,70,281,351
69,City,Madurai,0,19,19,0,30,30,0,0,0,0,59,59,0,0,0,0,5,5,0,11,11,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,189
