Sl. No,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total
48,City,DELHI (CITY),2,233,235,2,98,100,2,49,51,20,247,267,0,5,5,0,6,6,4,42,46,13,287,300,3,127,130,0,6,6,0,1,1,0,0,0,0,108,108,0,61,61,46,1270,1316
49,City,DHANBAD,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,18,30,48
50,City,DURG BHILAINAGAR,2,59,61,0,5,5,0,0,0,2,12,14,6,9,15,0,0,0,0,6,6,2,88,90,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,12,183,195
51,City,FARIDABAD,0,40,40,0,10,10,0,16,16,0,33,33,0,0,0,0,14,14,0,10,10,0,11,11,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,230,230
52,City,GHAZIABAD,4,126,130,1,54,55,0,29,29,1,57,58,0,5,5,1,10,11,0,23,23,2,41,43,0,9,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,356,365
53,City,GWALIOR,3,15,18,2,8,10,2,6,8,3,17,20,1,3,4,3,9,12,3,7,10,6,30,36,1,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,125,149
54,City,HYDERABAD,2,16,18,1,35,36,0,5,5,7,44,51,0,0,0,0,0,0,14,24,38,65,211,276,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,89,336,425
55,City,INDORE,0,33,33,0,28,28,0,16,16,0,51,51,1,6,7,0,3,3,1,5,6,8,58,66,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,216,227
56,City,JABALPUR,32,0,32,7,0,7,7,0,7,8,0,8,4,0,4,6,0,6,7,0,7,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,156
57,City,JAIPUR,27,89,116,27,51,78,0,3,3,32,64,96,34,38,72,3,16,19,1,11,12,220,93,313,5,40,45,12,0,12,2,0,2,0,0,0,0,150,150,0,21,21,363,576,939
58,City,JAMSHEDPUR,1,12,13,1,4,5,1,2,3,7,9,16,1,7,8,0,0,0,5,2,7,11,9,20,0,0,0,2,0,2,0,0,0,0,0,0,0,14,14,0,0,0,29,59,88
59,City,JODHPUR,15,33,48,4,29,33,2,4,6,7,23,30,13,54,67,0,0,0,0,0,0,26,45,71,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,77,220,297
60,City,KANNUR,0,1,1,0,1,1,0,2,2,1,3,4,0,0,0,0,0,0,0,2,2,1,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,1,1,2,65,67
61,City,KANPUR,9,279,288,2,60,62,1,6,7,3,150,153,2,47,49,0,14,14,4,114,118,15,176,191,0,4,4,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,36,853,889
62,City,KOCHI,0,27,27,0,14,14,0,3,3,1,9,10,0,1,1,0,0,0,0,4,4,2,57,59,0,0,0,0,3,3,0,0,0,0,0,0,0,47,47,0,0,0,3,165,168
63,City,KOLKATA,0,78,78,1,79,80,0,21,21,2,49,51,0,2,2,0,0,0,3,38,41,23,47,70,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,29,392,421
