Sl. No.,Category,State/UT/City,Road Accidents - 2016,Road Accidents - 2017,Road Accidents - % Var.,Railway Accidents - 2016,Railway Accidents - 2017,Railway Accidents - % Var.,Railway Crossing Accidents - 2016,Railway Crossing Accidents - 2017,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2016,Total Traffic Accidents - 2017,Total Traffic Accidents - % Var.,% Share
81,City,Surat,736,757,2.9,19,18,-5.3,0,0,-,755,775,2.6,1.1
82,City,Thiruvananthapuram,2453,2040,-16.8,0,0,-,14,30,114.3,2467,2070,-16.1,2.8
83,City,Thrissur,1357,1384,2,0,21,-,17,0,-100,1374,1405,2.3,1.9
84,City,Tiruchirappalli,657,638,-2.9,0,0,NA,0,0,NA,657,638,-2.9,0.9
85,City,Vadodara,1046,867,-17.1,18,9,-50,0,0,-,1064,876,-17.7,1.2
86,City,Varanasi,268,263,-1.9,39,17,-56.4,3,0,-100,310,280,-9.7,0.4
87,City,Vasai Virar,739,380,-48.6,0,0,NA,0,0,NA,739,380,-48.6,0.5
88,City,Vijayawada,1550,1491,-3.8,0,1,NA,0,0,NA,1550,1492,-3.7,2
89,City,Vishakhapatnam,1458,1374,-5.8,0,2,-,1,0,-100,1459,1376,-5.7,1.9
City,City,Total (Cities),83324,71580,-14.1,1991,1503,-24.5,191,251,31.4,85506,73334,-14.2,100
