Si. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs. (Day),Road Accidents - 0900 hrs to 1200 hrs. (Day),Road Accidents - 1200 hrs to 1500 hrs. (Day),Road Accidents - 1500 hrs to 1800 hrs. (Day),Road Accidents - 1800 hrs to 2100 hrs. (Night),Road Accidents - 2100 hrs to 2400 hrs. (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs. (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs. (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs. (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs. (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs. (Night),Railway Crossing Accidents - 2100 hrs to 2400 hrs. (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs. (Day),Railway Accidents - 0900 hrs to 1200 hrs. (Day),Railway Accidents - 1200 hrs to 1500 hrs. (Day),Railway Accidents - 1500 hrs to 1800 hrs. (Day),Railway Accidents - 1800 hrs to 2100 hrs. (Night),Railway Accidents - 2100 hrs to 2400 hrs. (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs. (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs. (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs. (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs. (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs. (Night),Total (Traffic Accidents) - 2100 hrs to 2400 hrs. (Night),Total (Traffic Accidents) - Total
55,City,Hyderabad,130,115,217,315,312,365,334,276,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,130,115,217,315,312,365,335,276,2065
56,City,Indore,117,63,123,313,385,389,403,308,2101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,2,11,117,63,123,314,386,392,407,310,2112
57,City,Jabalpur,44,21,379,326,309,302,354,181,1916,0,0,0,0,0,0,0,0,0,2,1,2,9,3,2,6,5,30,46,22,381,335,312,304,360,186,1946
58,City,Jaipur,96,77,218,296,332,317,371,233,1940,0,0,0,0,0,0,0,0,0,20,8,13,15,7,13,16,9,101,116,85,231,311,339,330,387,242,2041
59,City,Jamshedpur,2,3,29,26,22,15,12,10,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,29,26,22,15,12,10,119
60,City,Jodhpur,10,27,42,81,97,90,95,39,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,42,81,97,90,95,39,481
61,City,Kannur,14,21,62,95,83,87,106,36,504,0,0,0,0,0,0,0,0,0,2,4,2,0,1,1,0,0,10,16,25,64,95,84,88,106,36,514
62,City,Kanpur,17,25,57,78,67,61,59,54,418,2,2,1,4,4,5,7,9,34,6,1,0,12,2,1,8,1,31,25,28,58,94,73,67,74,64,483
63,City,Kochi,65,34,187,268,204,220,258,124,1360,5,3,3,0,3,0,2,4,20,0,0,0,0,0,0,0,0,0,70,37,190,268,207,220,260,128,1380
64,City,Kolkata,132,91,176,279,247,238,256,264,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,91,176,279,247,238,256,264,1683
65,City,Kollam,20,56,142,243,221,272,312,145,1411,1,1,1,2,0,2,1,0,8,0,0,1,0,0,0,0,0,1,21,57,144,245,221,274,313,145,1420
66,City,Kota,4,7,24,49,64,72,92,41,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,24,49,64,72,92,41,353
67,City,Kozhikode,37,76,157,145,125,224,161,78,1003,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,4,1,10,37,77,159,146,125,225,165,79,1013
68,City,Lucknow,104,92,114,126,115,155,172,132,1010,0,2,0,2,1,2,1,0,8,0,1,0,2,0,0,0,0,3,104,95,114,130,116,157,173,132,1021
69,City,Ludhiana,12,18,51,29,60,59,96,63,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,51,29,60,59,96,63,388
70,City,Madurai,7,32,51,86,91,95,117,51,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,51,86,91,95,117,51,530
71,City,Malappuram,8,15,76,118,109,112,120,54,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,76,118,109,112,120,54,612
72,City,Meerut,32,28,24,45,32,73,78,65,377,3,4,0,2,0,1,4,0,14,0,0,0,0,0,0,0,0,0,35,32,24,47,32,74,82,65,391
73,City,Mumbai,35,39,50,48,77,68,49,52,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,50,48,77,68,49,52,418
74,City,Nagpur,59,34,105,122,135,140,182,113,890,0,0,0,0,0,0,0,0,0,2,2,3,10,5,4,3,2,31,61,36,108,132,140,144,185,115,921
75,City,Nasik,10,10,12,8,10,11,24,13,98,0,0,0,0,0,0,0,0,0,3,5,1,4,2,2,3,2,22,13,15,13,12,12,13,27,15,120
76,City,Patna,14,130,75,46,25,14,54,15,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,130,75,46,25,14,54,15,373
77,City,Pune,16,14,18,23,27,22,23,31,174,0,0,0,0,0,0,0,0,0,3,1,2,2,1,1,3,2,15,19,15,20,25,28,23,26,33,189
78,City,Raipur,74,121,129,145,206,156,37,39,907,1,0,0,1,0,0,1,0,3,2,5,4,2,6,6,3,3,31,77,126,133,148,212,162,41,42,941
79,City,Rajkot,17,10,59,90,82,67,73,34,432,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,0,10,17,10,60,92,86,69,74,34,442
80,City,Ranchi,22,46,31,40,30,25,29,24,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,46,31,40,30,25,29,24,247
81,City,Srinagar,0,0,8,88,115,64,1,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88,115,64,1,0,276
82,City,Surat,26,10,48,85,97,102,141,66,575,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,2,1,11,29,11,49,86,98,103,143,67,586
83,City,Thiruvananthapuram,36,84,269,197,126,231,179,92,1214,0,3,2,0,0,4,1,1,11,0,0,0,0,0,0,0,0,0,36,87,271,197,126,235,180,93,1225
84,City,Thrissur,23,42,191,294,203,284,327,100,1464,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,8,23,42,191,296,204,285,328,103,1472
85,City,Tiruchirappalli,13,17,33,68,71,68,89,39,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,33,68,71,68,89,39,398
86,City,Vadodara,20,21,53,81,81,78,88,59,481,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,8,20,23,53,81,81,78,90,63,489
87,City,Varanasi,6,10,16,23,16,15,16,18,120,0,0,0,0,0,0,0,0,0,2,3,4,3,2,1,3,2,20,8,13,20,26,18,16,19,20,140
88,City,Vasai Virar,23,24,27,34,34,29,59,44,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,27,34,34,29,59,44,274
89,City,Vijayawada,33,53,121,176,140,171,176,121,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,121,176,140,171,176,121,991
90,City,Vishakhapatnam,37,43,158,180,181,208,226,111,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,158,180,181,208,226,111,1144
Total (Cities),Total (Cities),Total (Cities),2947,2707,5681,7399,7398,7705,8402,5590,47829,17,22,14,16,10,18,23,19,139,146,102,133,137,117,118,136,110,999,3110,2831,5828,7552,7525,7841,8561,5719,48967
