Si. No.,Category,State/UT/City,Road Accidents - Jan,Road Accidents - Feb,Road Accidents - Mar,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - Aug,Road Accidents - Sept,Road Accidents - Oct,Road Accidents - Nov,Road Accidents - Dec,Road Accidents - Total,Railway Crossing Accidents - Jan,Railway Crossing Accidents - Feb,Railway Crossing Accidents - Mar,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - Aug,Railway Crossing Accidents - Sept,Railway Crossing Accidents - Oct,Railway Crossing Accidents - Nov,Railway Crossing Accidents - Dec,Railway Crossing Accidents - Total,Railway Accidents - Jan,Railway Accidents - Feb,Railway Accidents - Mar,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - Aug,Railway Accidents - Sept,Railway Accidents - Oct,Railway Accidents - Nov,Railway Accidents - Dec,Railway Accidents - Total,Total Traffic Accidents - Jan,Total Traffic Accidents - Feb,Total Traffic Accidents - Mar,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - Aug,Total Traffic Accidents - Sept,Total Traffic Accidents - Oct,Total Traffic Accidents - Nov,Total Traffic Accidents - Dec,Total Traffic Accidents - Total
66,City,Kota,48,37,36,3,10,19,37,25,34,29,47,28,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,37,36,3,10,19,37,25,34,29,47,28,353
67,City,Kozhikode,150,140,92,20,39,71,70,71,70,79,101,100,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,3,0,10,152,144,92,20,39,71,71,71,70,79,104,100,1013
68,City,Lucknow,84,125,90,16,65,62,79,89,85,108,104,103,1010,1,0,2,0,0,0,2,0,1,0,1,1,8,1,0,0,0,1,0,1,0,0,0,0,0,3,86,125,92,16,66,62,82,89,86,108,105,104,1021
69,City,Ludhiana,43,35,34,6,20,19,42,37,37,38,42,35,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,35,34,6,20,19,42,37,37,38,42,35,388
70,City,Madurai,59,52,54,8,34,36,31,47,46,57,55,51,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,52,54,8,34,36,31,47,46,57,55,51,530
71,City,Malappuram,105,71,55,6,41,34,48,38,57,42,54,61,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,71,55,6,41,34,48,38,57,42,54,61,612
72,City,Meerut,35,31,53,6,18,20,16,31,29,26,38,74,377,4,3,1,0,0,1,1,1,2,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,54,6,18,21,17,32,31,26,38,75,391
73,City,Mumbai,55,43,23,13,15,24,29,34,42,48,39,53,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,43,23,13,15,24,29,34,42,48,39,53,418
74,City,Nagpur,101,87,89,25,49,70,61,74,72,77,89,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,1,3,1,6,4,1,3,0,1,31,106,89,93,26,52,71,67,78,73,80,89,97,921
75,City,Nasik,8,9,5,7,9,5,12,7,8,11,10,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,1,1,1,1,2,2,3,1,22,9,12,9,9,10,6,13,8,10,13,13,8,120
76,City,Patna,52,33,32,13,18,28,21,29,40,39,29,39,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,33,32,13,18,28,21,29,40,39,29,39,373
77,City,Pune,27,28,14,2,8,5,22,5,12,10,18,23,174,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,3,2,3,2,15,29,29,16,2,8,5,22,5,15,12,21,25,189
78,City,Raipur,131,106,70,20,43,65,57,76,51,87,109,92,907,0,2,1,0,0,0,0,0,0,0,0,0,3,2,1,3,0,2,3,2,2,5,7,1,3,31,133,109,74,20,45,68,59,78,56,94,110,95,941
79,City,Rajkot,48,45,46,12,26,32,44,29,30,37,32,51,432,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,1,2,0,0,1,10,50,46,47,12,27,32,45,30,32,37,32,52,442
