S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
38,Arunachal Pradesh,2016,409,57,5,30,4,2,40,4,32,29,22,15,13,22,23,8,12,21,14,16,8,9,28,35,45,53,32,17,58,39,0,45,142,8,28,0,0,0,62,98,5,14,6,1,0,0,18,44,142,66,161,29.1,142,28.2,Winter,Alpine/Cold,15.84,25.8
39,Assam,2016,4971,286,238,656,17,128,887,389,716,684,669,606,616,548,523,548,554,645,577,584,485,586,1004,1252,1093,1188,979,683,1527,715,2,357,2601,136,501,153,142,69,223,1224,162,405,117,116,75,61,441,1377,2601,2733,4537,37.6,2601,34.1,Monsoon,Heavy Rainfall,351.07,14.2
40,Bihar,2016,9514,951,682,857,243,429,1349,356,682,705,815,774,699,722,660,577,578,620,730,660,435,963,1362,1518,1225,1134,1005,580,2046,1742,0,1079,4867,476,1167,192,86,25,404,2350,470,988,197,150,126,257,329,2517,4867,2983,5239,36.3,4867,27.7,Monsoon,Tropical Wet & Dry,1239.26,7.7
41,Chandigarh,2016,422,26,16,69,1,6,24,9,47,35,34,36,35,29,32,34,32,43,36,33,30,15,37,58,69,63,69,85,21,0,0,130,151,0,1,1,0,0,3,5,3,9,5,2,3,27,97,146,151,199,227,46.7,151,15.9,Monsoon,Hot & Dry,11.58,36.4
42,Chhattisgarh,2016,17809,838,189,571,249,45,1291,726,1397,1252,1183,1178,1258,1116,1040,944,988,1085,1069,1071,627,555,1541,2215,2154,2480,2754,1255,1246,1019,0,1644,3909,79,542,33,11,24,1561,2250,77,426,36,50,107,85,878,1659,3909,5191,8390,38.2,3909,33.0,Monsoon,Tropical Wet & Dry,292.36,60.9
43,Dadra and Nagar Haveli and Daman and Diu,2016,290,9,0,9,3,4,38,10,7,6,7,12,5,10,17,5,11,8,11,14,3,1,11,13,18,20,29,18,0,0,0,73,73,1,11,1,13,7,22,55,0,0,0,1,0,6,11,18,73,51,62,45.1,73,52.1,Monsoon,Coastal/Humid,6.86,42.3
44,Delhi,2016,6573,278,108,392,14,47,363,389,608,641,705,574,604,601,623,632,586,671,549,581,769,738,799,881,970,962,1123,1133,255,153,0,1183,1591,16,30,6,3,13,203,271,88,145,58,12,22,112,883,1320,1591,3763,3612,51.0,1591,22.8,Monsoon,Hot & Dry,190.14,34.6
45,Goa,2016,768,13,6,40,0,2,211,67,409,356,350,332,412,311,321,303,323,387,356,444,235,153,379,685,692,817,861,482,151,49,0,139,339,8,106,12,3,15,116,260,4,32,4,1,4,0,34,79,339,1731,2573,40.2,339,62.2,Monsoon,Heavy Rainfall,15.86,48.4
46,Gujarat,2016,27283,1565,509,1988,200,657,2390,843,1915,1848,1840,1953,2074,1810,1612,1552,1580,1778,1774,1822,1578,1473,2448,3457,3263,3370,3745,2224,1910,2796,106,3340,8152,277,1317,216,161,412,3219,5602,275,570,227,118,348,259,753,2550,8152,9020,12538,41.8,8152,29.3,Monsoon,Hot & Dry,709.04,38.5
47,Haryana,2016,14387,775,284,1191,264,168,1085,1403,827,921,982,954,905,917,901,916,960,1001,1043,998,888,1058,1341,1490,1616,1783,1887,1262,1845,1274,62,1989,5170,235,715,123,87,241,1841,3242,137,285,73,66,229,284,854,1928,5170,5095,6230,45.0,5170,21.0,Monsoon,Hot & Dry,283.57,50.7
