Sl. No.,State/UT/Cities,Road Accidents - January,Road Accidents - February,Road Accidents - March,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - August,Road Accidents - September,Road Accidents - October,Road Accidents - November,Road Accidents - December,Road Accidents - Total,Railway Crossing Accidents - January,Railway Crossing Accidents - February,Railway Crossing Accidents - March,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - August,Railway Crossing Accidents - September,Railway Crossing Accidents - October,Railway Crossing Accidents - November,Railway Crossing Accidents - December,Railway Crossing Accidents - Total,Railway Accidents - January,Railway Accidents - February,Railway Accidents - March,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - August,Railway Accidents - September,Railway Accidents - October,Railway Accidents - November,Railway Accidents - December,Railway Accidents - Total,Total Traffic Accidents - January,Total Traffic Accidents - February,Total Traffic Accidents - March,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - August,Total Traffic Accidents - September,Total Traffic Accidents - October,Total Traffic Accidents - November,Total Traffic Accidents - December,Total Traffic Accidents - Total
52,Gwalior,83,97,110,131,87,84,105,98,97,123,111,93,1219,1,0,0,4,2,1,0,1,1,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,84,97,110,135,89,85,105,99,98,123,112,95,1232
53,Hyderabad,193,204,172,196,213,210,223,195,197,244,227,242,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,204,172,196,213,210,223,195,197,244,227,242,2516
54,Indore,296,219,286,280,328,282,249,255,265,272,315,270,3317,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,2,2,1,1,0,1,1,2,17,299,220,287,282,330,284,250,256,265,273,316,272,3334
55,Jabalpur,209,231,314,129,152,141,183,144,197,214,213,333,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,231,314,129,152,141,183,144,197,214,213,333,2460
56,Jaipur,201,189,229,194,237,238,228,234,212,229,273,223,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,3,9,15,22,18,11,16,20,10,153,206,197,245,197,246,253,250,252,223,245,293,233,2840
57,Jamshedpur,14,12,12,16,17,15,9,15,17,17,10,13,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,12,16,17,15,9,15,17,17,10,13,167
58,Jodhpur,62,50,56,56,64,67,55,46,60,62,70,38,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,2,1,1,0,14,62,50,56,58,66,70,56,48,62,63,71,38,700
59,Kannur,140,120,144,159,149,142,127,123,127,122,122,160,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,2,2,0,3,3,2,1,21,141,124,145,161,149,144,129,123,130,125,124,161,1656
60,Kanpur,295,195,121,101,96,95,92,55,84,95,165,201,1595,25,16,22,11,8,7,7,7,8,9,9,26,155,0,0,0,0,0,0,0,0,0,0,0,0,0,320,211,143,112,104,102,99,62,92,104,174,227,1750
61,Kochi,210,176,217,194,190,218,192,187,196,190,217,245,2432,2,4,0,1,4,2,1,0,3,4,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,212,180,217,195,194,220,193,187,199,194,218,245,2454
62,Kolkata,78,98,99,89,99,67,78,85,77,92,96,79,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,98,99,89,99,67,78,85,77,92,96,79,1037
63,Kollam,216,154,182,160,176,207,138,164,163,169,171,183,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,2,11,221,154,182,160,176,207,140,166,163,169,171,185,2094
64,Kota,25,37,41,29,47,44,33,30,50,42,42,24,444,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,3,1,2,2,4,4,3,29,27,40,42,31,49,47,34,32,52,46,46,27,473
65,Kozhikode,174,160,156,160,170,143,151,164,155,200,211,210,2054,1,0,0,1,3,0,0,2,0,2,2,2,13,2,0,0,1,1,1,0,1,0,1,0,0,7,177,160,156,162,174,144,151,167,155,203,213,212,2074
66,Lucknow,116,102,123,124,123,153,124,123,107,79,105,129,1408,1,0,2,1,1,1,0,0,0,0,1,1,8,3,2,4,1,3,0,3,3,3,4,3,5,34,120,104,129,126,127,154,127,126,110,83,109,135,1450
