Sl. No.,State/UT/Cities,Truck/Lorry/Mini Truck - Injured,Truck/Lorry/Mini Truck - Died,Bus - Injured,Bus - Died,SUV / Car / Jeep / etc. - Injured,SUV / Car / Jeep / etc. - Died,Tractor - Injured,Tractor - Died,Three Wheeler/Auto Rickshaw - Injured,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Injured,Two Wheeler - Died,Other Motor Vehicles - Injured,Other Motor Vehicles - Died,Bicycle - Injured,Bicycle - Died,Hand Drawn Vehicle/Cycle Rickshaw - Injured,Hand Drawn Vehicle/Cycle Rickshaw - Died,Animal Drawn Vehicle - Injured,Animal Drawn Vehicle - Died,Others - Injured,Others - Died,Pedestrian - Injured,Pedestrian - Died,Grand Total - Injured,Grand Total - Died
47,Delhi (City),172,83,114,36,1059,308,12,3,294,73,2029,621,187,81,153,41,23,19,9,7,207,51,313,89,4572,1412
48,Dhanbad,0,4,0,1,10,24,0,0,1,0,56,85,0,0,0,0,0,0,0,0,0,0,6,0,73,114
49,Durg Bhilainagar,52,4,9,2,139,3,0,0,16,0,255,101,0,0,37,11,0,0,0,0,0,0,93,24,601,145
50,Faridabad,7,9,0,0,46,20,2,2,20,13,235,127,4,1,27,20,0,0,0,0,0,0,107,110,448,302
51,Ghaziabad,7,5,18,12,35,22,13,7,39,49,434,226,0,0,32,17,21,5,0,0,0,0,62,19,661,362
52,Gwalior,118,24,28,6,214,46,12,8,25,4,205,43,0,0,0,0,0,0,0,0,0,0,494,20,1096,151
53,Hyderabad,29,8,17,7,117,13,0,0,113,7,1257,161,0,0,25,4,0,0,0,0,2,0,692,123,2252,323
54,Indore,9,1,24,0,172,12,1,0,66,4,1692,180,14,0,45,2,7,0,0,0,88,9,613,74,2731,282
55,Jabalpur,7,5,16,7,36,12,16,2,46,5,2019,130,111,5,0,0,0,0,0,0,0,0,188,1,2439,167
56,Jaipur,123,60,92,18,437,141,6,3,51,4,1013,309,63,39,32,9,1,0,0,1,1,0,343,181,2162,765
57,Jamshedpur,6,6,6,1,11,5,0,0,8,7,43,17,5,0,10,6,0,0,0,0,18,6,8,20,115,68
58,Jodhpur,7,7,2,0,80,22,0,0,31,7,330,173,4,4,7,4,0,0,0,0,0,0,44,50,505,267
59,Kannur,260,32,276,10,588,32,2,0,160,9,408,51,16,3,0,0,0,0,0,0,0,0,408,12,2118,149
60,Kanpur,282,146,73,36,147,136,56,62,93,60,269,150,35,50,0,0,0,0,0,0,0,0,0,0,955,640
61,Kochi,132,20,229,17,738,26,0,6,197,16,975,67,91,0,0,4,0,0,0,0,0,0,0,0,2362,156
62,Kolkata,115,53,107,60,108,61,0,0,10,8,319,20,12,15,45,0,19,0,0,0,0,0,81,0,816,217
63,Kollam,65,17,59,11,522,31,0,0,203,17,736,54,137,23,45,9,0,0,0,0,0,0,409,52,2176,214
64,Kota,4,6,0,0,27,11,5,0,17,2,277,68,2,0,10,2,0,0,0,0,0,0,89,22,431,111
65,Kozhikode,3,0,5,0,81,5,0,0,127,5,1463,115,83,12,24,4,0,0,0,0,0,0,377,54,2163,195
66,Lucknow,161,165,57,31,329,181,22,22,7,4,343,180,37,24,5,3,0,0,0,0,23,17,10,16,994,643
